Cause,Donor_Name,Amount,Donor_history,Donor_history_2,Donor_history_3
For Blind People,Mukund Charitable Trust	,91941	INR,"Supported the publication of a research paper with a grant of $20,000 focusing on flood risk reduction.","Donated $140,000 to support advocacy efforts for blind people's rights and inclusion.","Supported the publication of a research paper with a grant of $20,000 focusing on blind people's rights."
For Blind People,Sonia Amitbhai Agrawal	,15000 INR,"Provided $150,000 in funding for a program offering mentorship and support to blind people.","Supported Lake Revival literacy with a grant of $200,000 to develop educational materials on lake conservation.","Contributed $25,000 to an innovation competition for startups creating assistive technologies for blind people."
For Blind People,Ramsinh Dolubhai Gohil	,15000 INR,"Endowed $160,000 to establish a scholarship fund for blind people pursuing arts and culture.","Sponsored a Lake Revival conference with a donation of $30,000 to facilitate knowledge exchange.","Endowed $35,000 to establish a fellowship program for blind people pursuing entrepreneurship."
For Blind People,Priyank Madhuben Patel	,18000 INR,"Sponsored a seminar with a donation of $170,000 focusing on advancements in blind people's education.","Invested $85,000 in a NeuroScience technology startup focused on brain-computer interfaces.","Invested $350,000 in a sports academy providing coaching and mentorship to young athletes."
For Blind People,Deep Pharma	,25001	INR,"Donated $180,000 to a charity providing guide dogs and mobility training for blind people.","Provided $95,000 in funding for a NeuroScience outreach program targeting rural communities.","Supported sports education with a grant of $100,000 to a youth sports program."
For Blind People,Avdhesh Ramanuj	,11000 INR,"Invested $190,000 in a startup creating audio-based navigation systems for blind people.","Provided $35,000 in funding for a NeuroScience lecture series at a local library.","Provided $75,000 in funding for sports clubs and leagues fostering community engagement."
For Blind People,Vatsal P Thakor	,34000 INR,"Supported blind people's literacy with a grant of $200,000 to develop accessible reading materials.","Contributed $45,000 to a NeuroScience awareness campaign aimed at reducing stigma.","Endowed $80,000 to establish a fund for sports scholarships and grants."
Flood Relief,Foundation Caritas Luxembourg,,"Donated $200,000 to support flood relief efforts a year ago.","Endowed $55,000 to establish a NeuroScience research fellowship at a prestigious institute.","Supported Lake Revival literacy with a grant of $200,000 to develop educational materials on lake conservation."
Flood Relief,Catholic Agency for Overseas Development (CAFOD),,"Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education.","Invested around $400,000 in flood relief initiatives focused on rebuilding affected communities.","Sponsored a Lake Revival conference with a donation of $30,000 to facilitate knowledge exchange."
Flood Relief,Jamiat Ulama I Hind-UK,,"Donated $180,000 to a charity providing educational resources to children in refugee camps.","Helped flood victims by donating $250,000 towards emergency supplies and shelter.","Sponsored a conference with a donation of $30,000 to discuss flood management strategies."
Flood Relief,Al-Khair Foundation-UK,,"Invested $190,000 in a startup developing low-cost educational materials for developing countries.","Contributed $150,000 to support flood relief infrastructure for long-term recovery.","Donated $40,000 to a flood relief outreach program for psychological support and trauma counseling."
Flood Relief,Chance Swiss BONO,,"Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education.","Pledged $300,000 towards improving flood warning systems and evacuation procedures.","Supported the publication of a research paper with a grant of $20,000 focusing on flood risk reduction."
Flood Relief,Christian Aid,,"Donated $180,000 to a charity providing educational resources to children in refugee camps.","Sponsored a workshop with a donation of $280,000 focusing on organic farming practices.","Endowed $35,000 to establish a fellowship program for professionals specializing in mental health care."
Flood Relief,Charity Australia International,,"Invested $190,000 in a startup developing low-cost educational materials for developing countries.","Donated $290,000 to support agricultural cooperatives marketing local produce.","Donated $45,000 to a mental health awareness campaign aimed at reducing stigma."
Flood Relief,Charity Sharing,,"Helped individuals deepen their faith by donating $120,000 to establish a religious study group or class.","Invested $310,000 in a startup developing blockchain technology for transparent agricultural supply chains.","Provided $55,000 in funding for mobile mental health clinics delivering services to underserved areas."
Flood Relief,Children on the Edge,,"Provided $75,000 in funding for flood relief organizations providing medical assistance.","Supported agricultural advocacy with a grant of $320,000 to organizations promoting farmer rights.","Provided $260,000 in funding for art therapy programs benefiting individuals struggling with mental health."
Flood Relief,Christian Aid,,"Endowed $80,000 to establish a flood relief fund for rapid response and recovery.","Contributed $330,000 to fund research on drought-resistant crops.","Invested $130,000 in a research institute focused on studying flood patterns and mitigation strategies."
Flood Relief,Christian Aid Bangladesh,,"Sponsored a conference with a donation of $30,000 to discuss flood management strategies.","Donated $340,000 to establish a community-supported agriculture program.","Sponsored a seminar with a donation of $170,000 focusing on innovations in flood relief."
Flood Relief,Christian Aid Bangladesh,,"Donated $40,000 to a flood relief outreach program for psychological support and trauma counseling.","Invested $230,000 in a research project exploring alternative therapies for mental health conditions.","Donated $180,000 to a charity providing emergency relief supplies to flood-stricken communities."
Flood Relief,Comfort aid international,,"Supported the publication of a research paper with a grant of $20,000 focusing on flood risk reduction.","Helped combat loneliness by donating $240,000 to initiatives fostering social connections for those with mental illness.","Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods."
Flood Relief,Community Partner International,,"Contributed $25,000 to an innovation competition for startups developing flood monitoring technologies.","Provided $260,000 in funding for art therapy programs benefiting individuals struggling with mental health.","Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness."
Flood Relief,Community Partners Int. Partnering for Health in Myanmar,,"Endowed $35,000 to establish a fellowship program for professionals specializing in flood relief.","Invested $190,000 in a startup providing renewable energy solutions for rural households.","Sponsored a workshop with a donation of $280,000 focusing on organic farming practices."
Flood Relief,"Community partners internatgional-Partnering for Health in
 Myanmar",,"Donated $45,000 to a flood relief awareness campaign aimed at promoting community resilience.","Donated $140,000 to a rural charity providing microloans for entrepreneurs.","Donated $290,000 to support agricultural cooperatives marketing local produce."
Flood Relief,Global Medic Muntada Aid,,"Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness.","Provided $55,000 in funding for mobile medical clinics delivering healthcare to flood-affected areas.","Invested $310,000 in a startup developing blockchain technology for transparent agricultural supply chains."
Flood Relief,Global One,,"Supported mental health education with a grant of $100,000 to a mental health awareness program.","Invested $65,000 in a technology startup focused on creating early warning systems for floods.","Supported agricultural advocacy with a grant of $320,000 to organizations promoting farmer rights."
Flood Relief,Good Neighbors International Head Quarters,,"Provided $75,000 in funding for mental health support groups and peer counseling.","Donated $70,000 to sponsor a symposium bringing together experts to address flood resilience.","Contributed $330,000 to fund research on drought-resistant crops."
Flood Relief,Goreeb & Yateem Trust Fund,,"Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness.","Supported the expansion of flood shelters with a donation of $85,000.","Donated $340,000 to establish a community-supported agriculture program."
Flood Relief,Grand Challeges,,"Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health.","Contributed $95,000 to fund a documentary highlighting the impact of floods on communities.","Supported the publication of a research paper with a grant of $20,000 focusing on flood risk reduction."
Flood Relief,HAEFA,,"Helped improve flood response by donating $120,000 to train local volunteers in disaster management.","Donated $40,000 to a flood relief outreach program for psychological support and trauma counseling.","Donated $40,000 to a flood relief outreach program for psychological support and trauma counseling."
Flood Relief,Handicap International,,"Invested $130,000 in a research institute focused on studying flood patterns and mitigation strategies.","Supported the publication of a research paper with a grant of $20,000 focusing on flood risk reduction.","Supported the publication of a research paper with a grant of $20,000 focusing on flood risk reduction."
Flood Relief,HANDS (Health and nutritional development services),,"Donated $140,000 to support advocacy efforts for policy changes to address flood risks.","Contributed $25,000 to an innovation competition for startups developing flood monitoring technologies.","Contributed $25,000 to an innovation competition for startups developing flood monitoring technologies."
Flood Relief,Hayrat Humanitarian Aid Association,,"Provided $150,000 in funding for a program offering financial assistance to flood-affected households.","Endowed $80,000 to establish a flood relief fund for rapid response and recovery.","Endowed $80,000 to establish a flood relief fund for rapid response and recovery."
Flood Relief,Hayrat Insani Yardim Dernegi,,"Endowed $160,000 to establish a scholarship fund for students studying flood management.","Sponsored a seminar with a donation of $170,000 focusing on innovations in pediatric Cerebral Palsy care.","Donated $40,000 to a flood relief outreach program for psychological support and trauma counseling."
Flood Relief,Health and education for all,,"Sponsored a seminar with a donation of $170,000 focusing on innovations in flood relief.","Donated $180,000 to a charity providing financial assistance to families of children with Cerebral Palsy.","Supported the publication of a research paper with a grant of $20,000 focusing on flood risk reduction."
Flood Relief,Helf-Hilfe zur selbsthilfe e.V.,,"Donated $180,000 to a charity providing emergency relief supplies to flood-stricken communities.","Invested $190,000 in a startup developing inclusive playground equipment for children with Cerebral Palsy.","Contributed $25,000 to an innovation competition for startups developing flood monitoring technologies."
Flood Relief,Help Age International,,"Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods.","Supported Cerebral Palsy literacy with a grant of $200,000 to develop educational materials on the condition.","Endowed $80,000 to establish a flood relief fund for rapid response and recovery."
Flood Relief,Help the Needy Charitable Trust,,"Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness.","Donated $140,000 to a rural charity providing microloans for entrepreneurs.","Sponsored a conference with a donation of $30,000 to discuss flood management strategies."
Flood Relief,Helping Hand for Relief & Development (HHRD),,"Endowed $80,000 to establish a flood relief fund for rapid response and recovery.","Invested $190,000 in a startup providing renewable energy solutions for rural households.","Invested $350,000 in a sports academy providing coaching and mentorship to young athletes."
Flood Relief,HELPING HUT,,"Sponsored a conference with a donation of $30,000 to discuss flood management strategies.","Donated $140,000 to a rural charity providing microloans for entrepreneurs.","Supported sports education with a grant of $100,000 to a youth sports program."
Flood Relief,Helvetas Swiss Intercooperation,,"Donated $40,000 to a flood relief outreach program for psychological support and trauma counseling.","Donated $140,000 to a rural charity providing training and employment opportunities.","Provided $75,000 in funding for sports clubs and leagues fostering community engagement."
Flood Relief,Heroic Hearts Organization,,"Supported the publication of a research paper with a grant of $20,000 focusing on flood risk reduction.","Invested $190,000 in a Lake Revival startup developing eco-friendly solutions for lake maintenance.","Supported the publication of a research paper with a grant of $20,000 focusing on mental health interventions."
Flood Relief,HHRD,,"Contributed $25,000 to an innovation competition for startups developing flood monitoring technologies.","Supported Lake Revival literacy with a grant of $200,000 to develop educational materials on lake conservation.","Contributed $25,000 to an innovation competition for startups developing mental health technologies."
Flood Relief,Hilfe fur Bruder,,"Endowed $80,000 to establish a flood relief fund for rapid response and recovery.","Sponsored a Lake Revival conference with a donation of $30,000 to facilitate knowledge exchange.","Endowed $35,000 to establish a fellowship program for professionals specializing in mental health care."
Flood Relief,Hope International Development Agency,,"Sponsored a conference with a donation of $30,000 to discuss flood management strategies.","Donated $40,000 to a Lake Revival outreach program for raising awareness about water conservation.","Donated $180,000 to a charity providing financial assistance to families of children with Cerebral Palsy."
Flood Relief,Hope'87,,"Donated $40,000 to a flood relief outreach program for psychological support and trauma counseling.","Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education.","Invested $190,000 in a startup developing inclusive playground equipment for children with Cerebral Palsy."
Flood Relief,Crescent of Hope,,"Supported the publication of a research paper with a grant of $20,000 focusing on flood risk reduction.","Donated $180,000 to a charity providing educational resources to children in refugee camps.","Supported Cerebral Palsy literacy with a grant of $200,000 to develop educational materials on the condition."
Flood Relief,Crescent Relief,,"Contributed $25,000 to an innovation competition for startups developing flood monitoring technologies.","Invested $190,000 in a startup developing low-cost educational materials for developing countries.","Invested around $400,000 in programs aimed at improving therapy and treatment for children with Cerebral Palsy."
children affected by Cerebral Palsy,"Thiru.V.Sundar, Intrique Medical Equipments, Madurai",25000 INR,"Donated $200,000 to support children affected by Cerebral Palsy a year ago.","Invested around $400,000 in programs aimed at improving therapy and treatment for children with Cerebral Palsy.","Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education."
children affected by Cerebral Palsy,"Thiru.J.S.Rajjan, and his Family Members, USA",25000 INR,"Invested around $400,000 in programs aimed at improving therapy and treatment for children with Cerebral Palsy.","Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education.","Donated $180,000 to a charity providing educational resources to children in refugee camps."
children affected by Cerebral Palsy,"Thiru.T.Viswanathan, Thindivanam",25000 INR,"Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education.","Donated $180,000 to a charity providing educational resources to children in refugee camps.","Provided $35,000 in funding for a NeuroScience lecture series at a local library."
children affected by Cerebral Palsy,"Ms.Sheela, BSNL, Tanjore",25000 INR,"Donated $180,000 to a charity providing educational resources to children in refugee camps.","Contributed $150,000 to support Cerebral Palsy clinics and rehabilitation centers for children.","Contributed $45,000 to a NeuroScience awareness campaign aimed at reducing stigma."
children affected by Cerebral Palsy,"Ms.Sasirekha BSNL, Madurai",25000 INR,"Invested $190,000 in a startup developing low-cost educational materials for developing countries.","Pledged $300,000 towards research and development of innovative therapies for children with Cerebral Palsy.","Endowed $55,000 to establish a NeuroScience research fellowship at a prestigious institute."
children affected by Cerebral Palsy,"	Ms.Sangeetha BSNL, Madurai",25000 INR,"Supported Lake Revival literacy with a grant of $200,000 to develop educational materials on lake conservation.","Donated $50,000 to provide scholarships for children with Cerebral Palsy to access education and therapy services.","Invested around $400,000 in programs aimed at improving therapy and treatment for children with Cerebral Palsy."
children affected by Cerebral Palsy,"S.D.Karunamoorthy ,TNEB, Arasaradi, Madurai",25000 INR,"Sponsored a Lake Revival conference with a donation of $30,000 to facilitate knowledge exchange.","Invested $350,000 in a startup developing technologies to enhance communication and mobility for children with Cerebral Palsy.","Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education."
children affected by Cerebral Palsy,"S.A.Kalyanasundaram, Coimbatore",25000 INR,"Donated $40,000 to a Lake Revival outreach program for raising awareness about water conservation.","Supported education for children with Cerebral Palsy with a grant of $100,000 to inclusive schools.","Donated $180,000 to a charity providing educational resources to children in refugee camps."
children affected by Cerebral Palsy,"Col.V.Janakarajan, Vice President ,TVS Madurai",25000 INR,"Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education.","Provided $75,000 in funding for Cerebral Palsy support organizations offering family assistance and advocacy.","Donated $180,000 to a charity providing emergency relief supplies to flood-stricken communities."
children affected by Cerebral Palsy,"C.Vimala, Pondicheri",25000 INR,"Donated $180,000 to a charity providing educational resources to children in refugee camps.","Endowed $80,000 to establish a foundation dedicated to empowering children with Cerebral Palsy.","Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods."
children affected by Cerebral Palsy,"Ms.Fajlunnisha, USA",25000 INR,"Invested $190,000 in a startup developing low-cost educational materials for developing countries.","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange and collaboration in Cerebral Palsy research.","Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness."
children affected by Cerebral Palsy,"Mrs.Lakshmi Divakar, Mumbai",25000 INR,"Supported the publication of educational research with a grant of $20,000 to a scholarly journal.","Donated $40,000 to a Cerebral Palsy outreach program providing early intervention services for children.","Invested $190,000 in a startup providing renewable energy solutions for rural households."
children affected by Cerebral Palsy,"Mr.J.Saravanan, Chennai",25000 INR,"Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods.","Supported the publication of a research paper with a grant of $20,000 focusing on advancements in Cerebral Palsy treatment.","Contributed $90,000 towards implementing water recycling systems in industrial settings."
children affected by Cerebral Palsy,"	S.D.Karunamoorthy, Madurai",25000 INR,"Contributed $25,000 to an innovation competition for startups developing assistive technologies for children with Cerebral Palsy.","Supported mental health education with a grant of $100,000 to a mental health awareness program.","Pledged $160,000 to establish water purification plants in drought-affected regions."
children affected by Cerebral Palsy,"Mrs.Mumthaj, Madurai",25000 INR,"Endowed $35,000 to establish a fellowship program for professionals specializing in pediatric Cerebral Palsy care.","Provided $75,000 in funding for mental health support groups and peer counseling.","Donated $40,000 to support research on innovative water sanitation technologies."
children affected by Cerebral Palsy,"Mr.Sitharaman, Visvas Promoters, Madurai",25000 INR,"Donated $45,000 to a Cerebral Palsy awareness campaign aimed at promoting inclusion and accessibility.","Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness.","Donated $180,000 to a charity providing financial assistance to families of children with Cerebral Palsy."
children affected by Cerebral Palsy,"M/s. State Bank of India, Madurai",25000 INR,"Provided $55,000 in funding for mobile therapy clinics delivering services to children with Cerebral Palsy in underserved areas.","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health.","Invested $190,000 in a startup developing inclusive playground equipment for children with Cerebral Palsy."
children affected by Cerebral Palsy,"Lakshmi Priya, AIMS, Chennai",25000 INR,"Invested $65,000 in a technology startup focused on creating personalized therapies for children with Cerebral Palsy.","Donated $40,000 to a mental health outreach program providing community workshops.","Supported Cerebral Palsy literacy with a grant of $200,000 to develop educational materials on the condition."
children affected by Cerebral Palsy,"Vinod Chakravarthy, Kone India, Chennai",25000 INR,"Donated $70,000 to sponsor a symposium bringing together experts to discuss best practices in Cerebral Palsy management.","Supported the publication of a research paper with a grant of $20,000 focusing on mental health interventions.","Invested $190,000 in a startup providing renewable energy solutions for rural households."
children affected by Cerebral Palsy,"S. Subramanian, Accounts Officer , Nagercoil",25000 INR,"Supported the expansion of Cerebral Palsy treatment centers with a donation of $85,000.","Contributed $25,000 to an innovation competition for startups developing mental health technologies.","Donated $140,000 to a rural charity providing microloans for entrepreneurs."
children affected by Cerebral Palsy,"Gopi, Omaha, USA",25000 INR,"Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods.","Contributed $95,000 to fund a documentary highlighting the challenges and triumphs of children with Cerebral Palsy.","Supported the publication of a research paper with a grant of $20,000 focusing on mental health interventions."
children affected by Cerebral Palsy,"Thirumaran, Madurai",25000 INR,"Sponsored a seminar with a donation of $170,000 focusing on innovations in pediatric Cerebral Palsy care.","Helped improve access to therapy by donating $120,000 to build a state-of-the-art Cerebral Palsy rehabilitation facility.","Contributed $25,000 to an innovation competition for startups developing mental health technologies."
children affected by Cerebral Palsy,"P. Venkatesan (PT), Madurai",25000 INR,"Donated $180,000 to a charity providing financial assistance to families of children with Cerebral Palsy.","Invested $130,000 in a research institute focused on understanding the underlying causes of Cerebral Palsy.","Endowed $35,000 to establish a fellowship program for professionals specializing in mental health care."
children affected by Cerebral Palsy,"R. Usha Rajalakshmi, (PT) Kovilpatti",25000 INR,"Invested $190,000 in a startup developing inclusive playground equipment for children with Cerebral Palsy.","Donated $140,000 to support advocacy efforts for policy changes to improve services for children with Cerebral Palsy.","Donated $40,000 to a meals for needy people outreach program for nutrition awareness."
children affected by Cerebral Palsy,"V.P. Manikandan, Indian Express, SS Colony, Madurai",25000 INR,"Supported Cerebral Palsy literacy with a grant of $200,000 to develop educational materials on the condition.","Provided $150,000 in funding for a program offering recreational activities and social support for children with Cerebral Palsy.","Supported the publication of a meals for needy people research paper with a grant of $20,000."
children affected by Cerebral Palsy,"T. K. Varadan ,Madurai",25000 INR,"Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods.","Endowed $160,000 to establish a scholarship fund for children with Cerebral Palsy pursuing higher education.","Contributed $25,000 to a meals for needy people innovation competition for startups."
children affected by Cerebral Palsy,"R. Usha Ramesh, Chennai",25000 INR,"Sponsored a seminar with a donation of $170,000 focusing on innovations in pediatric Cerebral Palsy care.","Donated $220,000 to establish a mentorship program for refugee youth.","Endowed $35,000 to establish a meals for needy people fellowship for young professionals."
children affected by Cerebral Palsy,"	Jebakani Backyaraj, Chandragandhi Nagar, Madurai",25000 INR,"Donated $180,000 to a charity providing financial assistance to families of children with Cerebral Palsy.","Invested $230,000 in a research project exploring the impact of climate change on humanitarian crises.","Sponsored a seminar with a donation of $170,000 focusing on innovations in flood relief."
children affected by Cerebral Palsy,"	N. Harsha D/o Mr. J. Naveen Chandran, Madurai",25000 INR,"Invested $190,000 in a startup developing inclusive playground equipment for children with Cerebral Palsy.","Helped improve humanitarian response by donating $240,000 to train local volunteers.","Donated $180,000 to a charity providing emergency relief supplies to flood-stricken communities."
children affected by Cerebral Palsy,"Meena Narayani, Kattupakkam, Chennai",25000 INR,"Supported Cerebral Palsy literacy with a grant of $200,000 to develop educational materials on the condition.","Provided $260,000 in funding for humanitarian organizations advocating for policy change.","Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods."
 Mental Health ,	Wirendra Singh,,"Donated $200,000 to support mental health initiatives a year ago.","Endowed $270,000 to establish a humanitarian innovation lab for designing solutions.","Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness."
 Mental Health ,Inderjit Kaur Khokhar,,"Invested around $400,000 in mental health programs aimed at destigmatizing mental illness.","Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods.","Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education."
 Mental Health ,	Jaswinder Kaur,,"Helped individuals struggling with mental health by donating $250,000 towards counseling services.","Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness.","Donated $180,000 to a charity providing educational resources to children in refugee camps."
 Mental Health ,		Hemal Trivedi,,"Contributed $150,000 to support mental health clinics and therapy centers.","Endowed $80,000 to establish a flood relief fund for rapid response and recovery.","Invested $190,000 in a startup developing low-cost educational materials for developing countries."
 Mental Health ,	Chayan Jain,,"Pledged $300,000 towards research and development of innovative treatments for mental health disorders.","Sponsored a conference with a donation of $30,000 to discuss flood management strategies.","Invested $190,000 in a startup providing renewable energy solutions for rural households."
 Mental Health ,Dipal Mayank Mehta,,"Donated $50,000 to provide scholarships for individuals pursuing mental health studies.","Donated $40,000 to a flood relief outreach program for psychological support and trauma counseling.","Donated $140,000 to a rural charity providing microloans for entrepreneurs."
 Mental Health ,Tejas Patwari,,"Invested $350,000 in a startup developing mental health apps and online resources.","Supported the publication of a research paper with a grant of $20,000 focusing on flood risk reduction.","Sponsored a seminar with a donation of $170,000 focusing on innovations in flood relief."
 Mental Health ,	Subhash Dadani,,"Supported mental health education with a grant of $100,000 to a mental health awareness program.","Contributed $25,000 to an innovation competition for startups developing flood monitoring technologies.","Donated $180,000 to a charity providing emergency relief supplies to flood-stricken communities."
 Mental Health ,	Dr. Pranjalin Kavar,,"Provided $75,000 in funding for mental health support groups and peer counseling.","Invested $190,000 in a startup providing renewable energy solutions for rural households.","Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods."
 Mental Health ,Supal Alpeshkumar Desai,,"Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness.","Donated $140,000 to a rural charity providing microloans for entrepreneurs.","Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness."
 Mental Health ,	Tanay Choksi,,"Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health.","Invested $230,000 in a research project exploring alternative therapies for mental health conditions.","Sponsored a workshop with a donation of $280,000 focusing on organic farming practices."
 Mental Health ,		Vireshbhai H.Patel,,"Donated $40,000 to a mental health outreach program providing community workshops.","Helped combat loneliness by donating $240,000 to initiatives fostering social connections for those with mental illness.","Donated $290,000 to support agricultural cooperatives marketing local produce."
 Mental Health ,Jayminkumar Arvindbhai Parmar,,"Supported the publication of a research paper with a grant of $20,000 focusing on mental health interventions.","Provided $260,000 in funding for art therapy programs benefiting individuals struggling with mental health.","Invested $310,000 in a startup developing blockchain technology for transparent agricultural supply chains."
 Mental Health ,	Rohit Kumar Thareja,,"Contributed $25,000 to an innovation competition for startups developing mental health technologies.","Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education.","Supported agricultural advocacy with a grant of $320,000 to organizations promoting farmer rights."
 Mental Health ,Madhur Lata Sharma,,"Endowed $35,000 to establish a fellowship program for professionals specializing in mental health care.","Donated $180,000 to a charity providing educational resources to children in refugee camps.","Contributed $330,000 to fund research on drought-resistant crops."
 Mental Health ,	Nirmala N.Chandiramani,,"Donated $45,000 to a mental health awareness campaign aimed at reducing stigma.","Invested $190,000 in a startup developing low-cost educational materials for developing countries.","Donated $340,000 to establish a community-supported agriculture program."
 Mental Health ,Shree Ram Fondation & Charitable Trust,,"Provided $55,000 in funding for mobile mental health clinics delivering services to underserved areas.","Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education.","Invested $190,000 in a startup developing virtual reality therapy for mental health disorders."
 Mental Health ,	Ravi J.Desai,,"Invested $65,000 in a technology startup focused on teletherapy and remote mental health support.","Donated $180,000 to a charity providing educational resources to children in refugee camps.","Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods."
 Mental Health ,	Milan Rajnikant Vajani,,"Donated $70,000 to sponsor a symposium bringing together experts to discuss advancements in mental health treatment.","Invested $190,000 in a startup developing low-cost educational materials for developing countries.","Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness."
 Mental Health ,	Vireshbhai H.Patel,,"Supported the expansion of mental health treatment centers with a donation of $85,000.","Invested $190,000 in a startup providing renewable energy solutions for rural households.","Endowed $80,000 to establish a flood relief fund for rapid response and recovery."
 Mental Health ,	Madhur Lata Sharma,,"Contributed $95,000 to fund a documentary highlighting the importance of mental health awareness.","Donated $140,000 to a rural charity providing microloans for entrepreneurs.","Sponsored a conference with a donation of $30,000 to discuss flood management strategies."
 Mental Health ,	Chayan Jain,,"Supported the publication of educational research with a grant of $20,000 to a scholarly journal.","Helped improve access to mental health services by donating $120,000 to build a counseling center.","Donated $40,000 to a flood relief outreach program for psychological support and trauma counseling."
 Mental Health ,Jay Prajapati,,"Donated $40,000 to a Lake Revival outreach program for raising awareness about water conservation.","Invested $130,000 in a research institute focused on understanding the biological basis of mental illness.","Supported the publication of a research paper with a grant of $20,000 focusing on flood risk reduction."
 Mental Health ,Rituben Sureshbhai Dalwani,,"Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education.","Donated $140,000 to support advocacy efforts for policy changes to improve mental health care.","Contributed $25,000 to an innovation competition for startups developing flood monitoring technologies."
 Mental Health ,Jayeshbhai Ramabhai Patel,,"Donated $180,000 to a charity providing educational resources to children in refugee camps.","Provided $150,000 in funding for a program offering mental health screenings and assessments.","Invested $130,000 in a research institute focused on understanding the biological basis of mental illness."
 Mental Health ,Varsha Jayeshbhai Patel,,"Donated $200,000 to support rural development initiatives last year.","Endowed $160,000 to establish a scholarship fund for individuals pursuing careers in mental health.","Donated $140,000 to support advocacy efforts for policy changes to improve mental health care."
 Mental Health ,	Shikha Jain,,"Invested approximately $400,000 in projects aimed at improving rural infrastructure.","Sponsored a seminar with a donation of $170,000 focusing on innovations in mental health care.","Provided $150,000 in funding for a program offering mental health screenings and assessments."
 Mental Health ,	Manushi Desai,,"Invested $230,000 in a research project exploring alternative therapies for mental health conditions.","Donated $180,000 to a charity providing financial assistance to individuals in need of mental health treatment.","Endowed $160,000 to establish a scholarship fund for individuals pursuing careers in mental health."
 Mental Health ,Kartik Mahavir Jain,,"Invested $190,000 in a startup developing virtual reality therapy for mental health disorders.","Supported the expansion of a Lake Revival restoration project with a donation of $85,000.","Sponsored a seminar with a donation of $170,000 focusing on innovations in mental health care."
 Mental Health ,Subhash Dadani,,"Supported mental health literacy with a grant of $200,000 to develop educational materials on mental wellness.","Sponsored a meals for needy people conference with a donation of $30,000 to facilitate knowledge exchange.","Supported the expansion of a Lake Revival restoration project with a donation of $85,000."
 Mental Health ,The Banyan,,"Contributed $210,000 to fund a hotline providing immediate support for those in mental health crisis.","Donated $40,000 to a meals for needy people outreach program for nutrition awareness.","Contributed $25,000 to a meals for needy people innovation competition for startups."
 Mental Health ,Vandrevala Foundation,,"Donated $220,000 to establish a mentorship program pairing individuals with mental health professionals.","Supported the publication of a meals for needy people research paper with a grant of $20,000.","Sponsored a meals for needy people conference with a donation of $30,000 to facilitate knowledge exchange."
 Mental Health ,White Swan Foundation,,"Invested $230,000 in a research project exploring alternative therapies for mental health conditions.","Contributed $25,000 to a meals for needy people innovation competition for startups.","Donated $40,000 to a meals for needy people outreach program for nutrition awareness."
 Mental Health ,AASRA,,"Helped combat loneliness by donating $240,000 to initiatives fostering social connections for those with mental illness.","Endowed $35,000 to establish a meals for needy people fellowship for young professionals.","Supported the publication of a meals for needy people research paper with a grant of $20,000."
 Mental Health ,The Live Love Laugh Foundation,,"Provided $260,000 in funding for art therapy programs benefiting individuals struggling with mental health.","Invested $190,000 in a startup providing renewable energy solutions for rural households.","Contributed $25,000 to a meals for needy people innovation competition for startups."
